company,domain,star_rating,target_titles,priority_order
Musicbed,musicbed.com,5,"Chief of Staff; COO; Head of Operations; VP Brand; CEO","Chief of Staff > COO > Head of Operations > VP Brand > CEO"
Bandcamp,bandcamp.com,5,"Chief of Staff; COO; Head of Operations; VP Brand; CEO","Chief of Staff > COO > Head of Operations > VP Brand > CEO"
Readymag,readymag.com,5,"COO; Head of Operations; Chief of Staff; CEO","COO > Head of Operations > Chief of Staff > CEO"
Hypebeast,hypebeast.com,5,"Chief of Staff; VP Brand; Head of Operations; COO; VP Marketing","Chief of Staff > VP Brand > Head of Operations > COO > VP Marketing > CEO"
Pitchfork,pitchfork.com,5,"Chief of Staff; Head of Operations; VP Brand; VP Marketing; CEO","Chief of Staff > Head of Operations > VP Brand > VP Marketing > CEO"
Rive,rive.app,5,"Chief of Staff; COO; Head of Operations; VP Brand; CEO","Chief of Staff > COO > Head of Operations > VP Brand > CEO"
